task,rel_path,result,refinements,wall_s,log
Nyala-2lex-2,Nyala-2lex-2.c,TRUE,0,0.970,output/vguide/experiments/termination_scalar_300_stock/logs/Nyala-2lex-2.log
Parallel,Parallel.c,TRUE,0,0.919,output/vguide/experiments/termination_scalar_300_stock/logs/Parallel.log
Piecewise,Piecewise.c,TRUE,0,0.940,output/vguide/experiments/termination_scalar_300_stock/logs/Piecewise.log
Pure2Phase-1,Pure2Phase-1.c,TRUE,0,1.068,output/vguide/experiments/termination_scalar_300_stock/logs/Pure2Phase-1.log
Arrays02-EquivalentConstantIndices,Arrays02-EquivalentConstantIndices.c,UNKNOWN,0,115.250,output/vguide/experiments/termination_scalar_300_stock/logs/Arrays02-EquivalentConstantIndices.log
RecursiveMultiplication-1,RecursiveMultiplication-1.c,UNKNOWN,0,0.611,output/vguide/experiments/termination_scalar_300_stock/logs/RecursiveMultiplication-1.log
RecursiveNonterminating-1,RecursiveNonterminating-1.c,UNKNOWN,0,0.536,output/vguide/experiments/termination_scalar_300_stock/logs/RecursiveNonterminating-1.log
Rotation180-1,Rotation180-1.c,FALSE,0,0.644,output/vguide/experiments/termination_scalar_300_stock/logs/Rotation180-1.log
Singapore-2,Singapore-2.c,TRUE,0,1.248,output/vguide/experiments/termination_scalar_300_stock/logs/Singapore-2.log
Stockholm-1,Stockholm-1.c,TRUE,0,0.847,output/vguide/experiments/termination_scalar_300_stock/logs/Stockholm-1.log
SyntaxSupportPointer01-1,SyntaxSupportPointer01-1.c,UNKNOWN,0,0.672,output/vguide/experiments/termination_scalar_300_stock/logs/SyntaxSupportPointer01-1.log
SyntaxSupportPointer01-2,SyntaxSupportPointer01-2.c,UNKNOWN,0,0.674,output/vguide/experiments/termination_scalar_300_stock/logs/SyntaxSupportPointer01-2.log
SyntaxSupportPointer01-3,SyntaxSupportPointer01-3.c,UNKNOWN,0,0.757,output/vguide/experiments/termination_scalar_300_stock/logs/SyntaxSupportPointer01-3.log
TelAviv-Amir-Minimum,TelAviv-Amir-Minimum.c,TRUE,0,1.130,output/vguide/experiments/termination_scalar_300_stock/logs/TelAviv-Amir-Minimum.log
Thun-2,Thun-2.c,TRUE,0,0.953,output/vguide/experiments/termination_scalar_300_stock/logs/Thun-2.log
Arrays03-ValueRestictsIndex-2,Arrays03-ValueRestictsIndex-2.c,UNKNOWN,0,296.235,output/vguide/experiments/termination_scalar_300_stock/logs/Arrays03-ValueRestictsIndex-2.log
Toulouse-MultiBranchesToLoop-2,Toulouse-MultiBranchesToLoop-2.c,TRUE,0,2.242,output/vguide/experiments/termination_scalar_300_stock/logs/Toulouse-MultiBranchesToLoop-2.log
Waldkirch,Waldkirch.c,TRUE,0,0.859,output/vguide/experiments/termination_scalar_300_stock/logs/Waldkirch.log
WhileFalse,WhileFalse.c,TRUE,0,0.541,output/vguide/experiments/termination_scalar_300_stock/logs/WhileFalse.log
WhileTrue,WhileTrue.c,FALSE,0,0.640,output/vguide/experiments/termination_scalar_300_stock/logs/WhileTrue.log
aaron2-1,aaron2-1.c,TRUE,0,0.913,output/vguide/experiments/termination_scalar_300_stock/logs/aaron2-1.log
Copenhagen_disj-2,Copenhagen_disj-2.c,UNKNOWN,0,288.181,output/vguide/experiments/termination_scalar_300_stock/logs/Copenhagen_disj-2.log
easy1,easy1.c,TRUE,0,1.018,output/vguide/experiments/termination_scalar_300_stock/logs/easy1.log
easy2-2,easy2-2.c,TRUE,0,0.804,output/vguide/experiments/termination_scalar_300_stock/logs/easy2-2.log
Ackermann01-1,Ackermann01-1.c,UNKNOWN,0,0.546,output/vguide/experiments/termination_scalar_300_stock/logs/Ackermann01-1.log
Binomial,Binomial.c,UNKNOWN,0,0.560,output/vguide/experiments/termination_scalar_300_stock/logs/Binomial.log
EvenOdd01-2,EvenOdd01-2.c,UNKNOWN,0,0.534,output/vguide/experiments/termination_scalar_300_stock/logs/EvenOdd01-2.log
Fibonacci01-2,Fibonacci01-2.c,UNKNOWN,0,0.551,output/vguide/experiments/termination_scalar_300_stock/logs/Fibonacci01-2.log
LeUserDefRec,LeUserDefRec.c,UNKNOWN,0,0.558,output/vguide/experiments/termination_scalar_300_stock/logs/LeUserDefRec.log
LogRecursive,LogRecursive.c,UNKNOWN,0,0.545,output/vguide/experiments/termination_scalar_300_stock/logs/LogRecursive.log
Parts,Parts.c,UNKNOWN,0,0.597,output/vguide/experiments/termination_scalar_300_stock/logs/Parts.log
TerminatorRec02,TerminatorRec02.c,UNKNOWN,0,0.625,output/vguide/experiments/termination_scalar_300_stock/logs/TerminatorRec02.log
TwoWay,TwoWay.c,UNKNOWN,0,0.569,output/vguide/experiments/termination_scalar_300_stock/logs/TwoWay.log
gcd01-2,gcd01-2.c,UNKNOWN,0,0.565,output/vguide/experiments/termination_scalar_300_stock/logs/gcd01-2.log
LexIndexValue-Array-1,LexIndexValue-Array-1.c,UNKNOWN,0,295.183,output/vguide/experiments/termination_scalar_300_stock/logs/LexIndexValue-Array-1.log
recHanoi02-1,recHanoi02-1.c,UNKNOWN,0,0.815,output/vguide/experiments/termination_scalar_300_stock/logs/recHanoi02-1.log
rec_counter1,rec_counter1.c,UNKNOWN,0,0.586,output/vguide/experiments/termination_scalar_300_stock/logs/rec_counter1.log
rec_counter3,rec_counter3.c,UNKNOWN,0,0.576,output/vguide/experiments/termination_scalar_300_stock/logs/rec_counter3.log
twisted,twisted.c,UNKNOWN,0,1.272,output/vguide/experiments/termination_scalar_300_stock/logs/twisted.log
java_LogBuiltIn,java_LogBuiltIn.c,TRUE,0,8.627,output/vguide/experiments/termination_scalar_300_stock/logs/java_LogBuiltIn.log
LexIndexValue-Pointer-2,LexIndexValue-Pointer-2.c,UNKNOWN,0,290.855,output/vguide/experiments/termination_scalar_300_stock/logs/LexIndexValue-Pointer-2.log
Pure3Phase-1,Pure3Phase-1.c,UNKNOWN,0,295.780,output/vguide/experiments/termination_scalar_300_stock/logs/Pure3Phase-1.log
Toulouse-BranchesToLoop-2,Toulouse-BranchesToLoop-2.c,UNKNOWN,0,300.000,output/vguide/experiments/termination_scalar_300_stock/logs/Toulouse-BranchesToLoop-2.log
aaron3-1,aaron3-1.c,UNKNOWN,0,300.000,output/vguide/experiments/termination_scalar_300_stock/logs/aaron3-1.log
